Date,Open,High,Low,Close,Volume,AdjClose
11/29/1985,12763,12763,12763,12763,0,12763
12/2/1985,12797,12797,12797,12797,0,12797
12/3/1985,12775,12775,12775,12775,0,12775
12/4/1985,12811,12811,12811,12811,0,12811
12/5/1985,12864,12864,12864,12864,0,12864
12/6/1985,12794,12794,12794,12794,0,12794
12/9/1985,12798,12798,12798,12798,0,12798
12/10/1985,12851,12851,12851,12851,0,12851
12/11/1985,12972,12972,12972,12972,0,12972
12/12/1985,13050,13050,13050,13050,0,13050
12/13/1985,13108,13108,13108,13108,0,13108
12/16/1985,13118,13118,13118,13118,0,13118
12/17/1985,13129,13129,13129,13129,0,13129
12/18/1985,13102,13102,13102,13102,0,13102
12/19/1985,13115,13115,13115,13115,0,13115
12/20/1985,13011,13011,13011,13011,0,13011
12/23/1985,13043,13043,13043,13043,0,13043
12/24/1985,13101,13101,13101,13101,0,13101
12/26/1985,13085,13085,13085,13085,0,13085
12/27/1985,13083,13083,13083,13083,0,13083
1/6/1986,13054,13054,13054,13054,0,13054
1/7/1986,12991,12991,12991,12991,0,12991
1/8/1986,13056,13056,13056,13056,0,13056
1/9/1986,13034,13034,13034,13034,0,13034
1/10/1986,12898,12898,12898,12898,0,12898
1/13/1986,12977,12977,12977,12977,0,12977
1/14/1986,12929,12929,12929,12929,0,12929
1/16/1986,13027,13027,13027,13027,0,13027
1/17/1986,13010,13010,13010,13010,0,13010
1/20/1986,12952,12952,12952,12952,0,12952
1/21/1986,12882,12882,12882,12882,0,12882
1/22/1986,12923,12923,12923,12923,0,12923
1/23/1986,12889,12889,12889,12889,0,12889
1/24/1986,12904,12904,12904,12904,0,12904
1/27/1986,12983,12983,12983,12983,0,12983
1/28/1986,12994,12994,12994,12994,0,12994
1/29/1986,12937,12937,12937,12937,0,12937
1/30/1986,12949,12949,12949,12949,0,12949
1/31/1986,13024,13024,13024,13024,0,13024
2/3/1986,13087,13087,13087,13087,0,13087
2/4/1986,13138,13138,13138,13138,0,13138
2/5/1986,13186,13186,13186,13186,0,13186
2/6/1986,13187,13187,13187,13187,0,13187
2/7/1986,13212,13212,13212,13212,0,13212
2/10/1986,13226,13226,13226,13226,0,13226
2/12/1986,13301,13301,13301,13301,0,13301
2/13/1986,13296,13296,13296,13296,0,13296
2/14/1986,13343,13343,13343,13343,0,13343
2/17/1986,13448,13448,13448,13448,0,13448
2/18/1986,13436,13436,13436,13436,0,13436
2/19/1986,13467,13467,13467,13467,0,13467
2/20/1986,13355,13355,13355,13355,0,13355
2/21/1986,13394,13394,13394,13394,0,13394
2/24/1986,13506,13506,13506,13506,0,13506
2/25/1986,13576,13576,13576,13576,0,13576
2/26/1986,13622,13622,13622,13622,0,13622
2/27/1986,13642,13642,13642,13642,0,13642
